video_id,neg,neu,pos,total_tokens,chunk_count
rSpgZRvb8L8,-0.19682038,0.15946712,-0.00637000,417,1
WoUxb-Madyo,-2.06403756,1.06438708,1.12127817,111,1
oopg4it37wU,-2.81529188,-0.29941833,3.50784969,387,1
p6l2Bkqym4Q,-1.24118580,0.36751394,0.92066429,687,2
3oqMvKUKIhw,-1.05427187,0.57171936,0.39719390,3457,7
iX8ZEPMMMCY,-2.30668753,0.48960585,1.97154124,997,2
0rCPUQSULG4,-0.15297998,0.51058239,-0.51791821,699,2
yGXi7ehCVIQ,-2.56476378,0.10754640,2.78421259,207,1
3Iu82mK3Syg,-0.22571966,0.58855891,-0.65255998,1643,4
bxz1-uI51CU,-1.40341172,0.45080823,0.92523652,1647,4
iPgo29ynJZA,0.34690190,0.49974145,-1.03085369,1194,3
4K8nyPdDPqo,0.26324214,0.76479355,-1.24694486,2106,5
fCVvvHZBtJU,1.54762721,0.12215596,-1.98804533,83,1
84-VR3dBigU,0.03559639,0.61328769,-0.85195114,1501,3
cFGW6pSyZe4,-2.58199292,0.80468866,1.95309158,871,2
EvMyAVvU_u4,-0.96177560,0.25930470,0.62439829,508,1
PgNXkDkGF9A,-2.96075687,0.15347776,3.21251145,651,2
SEWqK0lNzcc,0.82930711,0.48690097,-1.64986638,588,2
ekli16xlXwc,-0.85161583,0.59782381,0.10253784,6914,14
TJlXkR6mOfg,0.03324312,0.56634330,-0.87417347,1940,4
FzrC6tXamFM,-1.65764177,0.23273494,1.63664263,680,2
SfmhcjXbNCA,-2.51931024,0.19068485,2.54623055,198,1
escnt9v4EZU,-2.77900791,-0.45553398,3.80450821,146,1
BTKScE-Zsrc,-2.98612309,0.31499678,2.85096979,248,1
fy_SZATS-d0,-2.70699129,0.38427585,2.49160334,924,2
qUc9lbKIieM,-2.84221148,0.23668979,2.83514667,306,1
whTaZxYZrrI,-2.34742905,0.77491673,1.75406988,1198,3
GrXsvBsvZsE,-2.50278711,0.17662884,2.54801583,202,1
FOzNgnMcaG4,-2.27201176,0.37400752,2.05962467,197,1
iZTL7rSNPVs,-2.87381577,-0.44852948,3.98569751,97,1
5ts1fTfZWY4,-0.83576493,0.69214853,-0.01142528,4626,10
IdN4CLhemFI,-0.99406617,0.57435619,0.26400595,1736,4
fhrAqsVEUvY,0.03697845,0.70141267,-0.97689451,1546,4
LMvMktLQRLA,-1.53643361,0.73922797,0.74347983,533,2
xfiqAriApBg,-2.09867001,0.15871160,2.17407131,173,1
C-9kJeWcegA,-2.94152823,0.65675070,2.61124761,523,2
wlXksOWIhxk,0.33592362,0.53973322,-1.12037232,1545,4
xjW2zJJlFc4,-0.86368846,0.78105737,-0.08901047,4093,9
bIgpyTxsKCM,-1.57377878,0.59340430,1.01212398,1048,3
UXE4zuY2q78,0.62852890,0.62724125,-1.50494293,2848,6
TLmc-NA_BW4,0.41408371,0.46715781,-1.15415929,1389,3
mMxk62fYWgc,-2.55392528,0.18067712,2.62254572,338,1
4MOI8PsRDto,-0.18704489,0.29354407,-0.30200700,1173,3
kjCaRE_QrQo,0.37259601,0.66888294,-1.33146517,1304,3
PRTSxxGzt_c,0.03111735,0.74543478,-1.07439425,828,2
HQOnYHl2pyg,1.18610655,0.30096225,-1.77340174,1132,3
u48vHmJybu4,1.37519240,0.56944305,-2.36043787,392,1
F4Cdt9gX8XA,0.06839154,0.81268618,-1.14920207,1254,3
VTo679gMzSc,-0.32468851,0.59200640,-0.44932050,549,2
qPI4gLzBByM,-0.64166354,0.57596040,-0.04790568,1115,3
ONOCIT58qW0,0.60678886,0.45431640,-1.29957534,1749,4
0QgOi_Q-L_o,-0.64338189,1.11799093,-0.71395020,1539,4
6PBkOV49v9o,-0.72338973,0.63673530,-0.01385382,3775,8
W9Lqi-flptY,-0.84881890,1.64159286,-1.08271706,396,1
qgnpXoWpxT0,-0.18993524,0.64586422,-0.61949480,2027,4
Q5zKXJ6aITM,0.50765401,0.24070318,-0.89468443,353,1
ubkESt0Yqmw,-2.21658026,1.04926357,1.16660787,3724,8
HWVt0jOFuuA,-0.62335761,0.69054434,-0.22979506,1300,3
Oi3-EAvs8bQ,-0.35357762,0.84044758,-0.71714509,1887,4
avZ39ZK0nSg,-0.47038923,0.64902407,-0.35876139,1812,4
